zipcode,price,sqft_lot,state
98178,231300.0,5650,WA
98125,538000.0,7242,WA
98028,180000.0,10000,WA
98136,604000.0,5000,WA
98074,510000.0,8080,WA
98053,1225000.0,101930,WA
98003,257500.0,6819,WA
98198,291850.0,9711,WA
98146,229500.0,7470,WA
98038,323000.0,6560,WA
98007,662500.0,9796,WA
98115,468000.0,6000,WA
98028,310000.0,19901,WA
98074,400000.0,9680,WA
98107,530000.0,4850,WA
98126,650000.0,5000,WA
98019,395000.0,14040,WA
98103,485000.0,4300,WA
98002,189000.0,9850,WA
98003,230000.0,9774,WA
98133,385000.0,4980,WA
98040,2000000.0,44867,WA
98092,285000.0,6300,WA
98030,252700.0,9643,WA
98030,329000.0,6500,WA
98002,233000.0,4697,WA
98119,937000.0,2691,WA
98112,667000.0,1581,WA
98115,438000.0,6380,WA
98052,719000.0,7173,WA
98027,580500.0,3980,WA
98133,280000.0,1265,WA
98117,687500.0,5000,WA
98117,535000.0,3000,WA
98058,322500.0,6659,WA
98115,696000.0,3060,WA
98052,550000.0,34848,WA
98107,640000.0,6000,WA
98001,240000.0,8075,WA
98056,605000.0,7553,WA
98074,625000.0,5520,WA
98166,775000.0,24186,WA
98053,861990.0,5639,WA
98119,685000.0,2280,WA
98058,309000.0,9656,WA
98019,488000.0,13603,WA
98023,210490.0,8528,WA
98007,785000.0,13416,WA
98115,450000.0,5963,WA
98070,1350000.0,65005,WA
98148,228000.0,9199,WA
98056,345000.0,9134,WA
98117,600000.0,4080,WA
98117,585000.0,8550,WA
98105,920000.0,6000,WA
98105,885000.0,5000,WA
98042,292500.0,4495,WA
98042,301000.0,4750,WA
98008,951000.0,14342,WA
98059,430000.0,9976,WA
98166,650000.0,21235,WA
98148,289000.0,8400,WA
98166,505000.0,8690,WA
98115,549000.0,1044,WA
98122,425000.0,6000,WA
98144,317625.0,3809,WA
98004,975000.0,11049,WA
98001,287000.0,4648,WA
98042,204000.0,12070,WA
98004,1325000.0,20158,WA
98005,1040000.0,50094,WA
98034,325000.0,5612,WA
98125,571000.0,7807,WA
98038,360000.0,5000,WA
98042,349000.0,50529,WA
98075,832500.0,35102,WA
98008,380000.0,7300,WA
98116,480000.0,5060,WA
98133,410000.0,5060,WA
98010,720000.0,39683,WA
98038,390000.0,5100,WA
98038,360000.0,5889,WA
98118,355000.0,6720,WA
98059,356000.0,8712,WA
98125,315000.0,6634,WA
98119,940000.0,3600,WA
98092,305000.0,8400,WA
98056,461000.0,6278,WA
98056,215000.0,2040,WA
98136,335000.0,1066,WA
98023,243500.0,7403,WA
98199,1099880.0,6353,WA
98023,153000.0,10500,WA
98117,430000.0,5000,WA
98117,700000.0,5000,WA
98040,905000.0,10250,WA
98032,247500.0,15681,WA
98023,199000.0,6400,WA
98038,314000.0,41800,WA
98045,437500.0,36847,WA
98102,850830.0,13241,WA
98117,555000.0,3478,WA
98077,699950.0,107593,WA
98004,1088000.0,8113,WA
98058,290000.0,33919,WA
98058,375000.0,10005,WA
98117,460000.0,4005,WA
98198,188500.0,2493,WA
98077,680000.0,28037,WA
98052,470000.0,12342,WA
98027,597750.0,9624,WA
98103,570000.0,3328,WA
98038,272500.0,12600,WA
98108,329950.0,5969,WA
98001,480000.0,16171,WA
98117,740500.0,6350,WA
98103,518500.0,1102,WA
98178,205425.0,6780,WA
98168,171800.0,9600,WA
98144,535000.0,2982,WA
98177,660000.0,6474,WA
98034,391500.0,9132,WA
98117,395000.0,6000,WA
98118,445000.0,4400,WA
98052,770000.0,10204,WA
98004,1450000.0,17789,WA
98178,445000.0,8201,WA
98023,260000.0,8811,WA
98103,822500.0,4960,WA
98065,430000.0,4310,WA
98092,212000.0,7875,WA
98027,660500.0,9603,WA
98052,784000.0,111078,WA
98029,453246.0,2287,WA
98107,675000.0,2278,WA
98003,199000.0,17390,WA
98003,220000.0,7840,WA
98028,452000.0,10002,WA
98125,382500.0,4440,WA
98107,519950.0,1249,WA
98119,665000.0,3200,WA
98006,527700.0,9375,WA
98058,205000.0,8579,WA
98133,420000.0,8097,WA
98006,500000.0,8517,WA
98077,921500.0,315374,WA
98109,890000.0,4000,WA
98027,430000.0,60984,WA
98032,258000.0,12500,WA
98103,511000.0,3455,WA
98103,532170.0,3090,WA
98107,560000.0,5000,WA
98003,282950.0,8200,WA
98006,2250000.0,19850,WA
98115,350000.0,5100,WA
98058,215000.0,7669,WA
98056,650000.0,25245,WA
98023,320000.0,7500,WA
98022,247000.0,7198,WA
98059,320000.0,11180,WA
98146,255000.0,8632,WA
98034,438000.0,9660,WA
98075,900000.0,16603,WA
98034,441000.0,7280,WA
98027,420000.0,38332,WA
98034,370000.0,7000,WA
98198,269950.0,7250,WA
98006,807100.0,4499,WA
98034,653000.0,9750,WA
98133,371500.0,8336,WA
98166,284000.0,21000,WA
98023,272000.0,7140,WA
98133,313000.0,7912,WA
98033,917500.0,35003,WA
98006,673000.0,8190,WA
98122,425000.0,1100,WA
98144,399950.0,5400,WA
98122,385000.0,4800,WA
98022,269950.0,7560,WA
98177,330000.0,8220,WA
98030,260000.0,5797,WA
98126,470000.0,5125,WA
98034,589000.0,9600,WA
98038,163500.0,3419,WA
98052,835000.0,13412,WA
98033,1095000.0,12850,WA
98023,269000.0,10000,WA
98074,560000.0,8744,WA
98103,615000.0,2400,WA
98052,585188.0,10026,WA
